Subject,Real_PeakAmp,Imagined_PeakAmp
S001,23.50629,21.48469
S004,8.824132,11.38888
S005,7.938073,7.748323
S006,9.347322,9.682259
S008,11.75525,10.81136
S009,34.3709,33.01899
S013,23.89189,17.16301
S014,13.4454,13.22232
S015,19.25024,20.14209
S016,11.56678,8.958557
S018,5.374225,5.124536
S019,17.599,14.11134
S021,8.116118,6.045675
S022,56.83715,25.02432
S024,16.15267,14.21799
S026,4.11669,6.992468
S027,17.77698,22.56406
S034,7.928018,9.680028
S035,12.45175,9.857484
S038,12.81326,12.44477
S039,27.62827,28.04985
S040,20.63867,16.49601
S041,6.205137,4.010166
S042,6.762053,5.826317
S044,39.21347,31.84323
S051,3.471033,3.167945
S057,23.13693,22.06695
S059,24.93395,19.9817
S060,29.28131,22.39317
S061,20.58859,18.49035
S062,10.28548,7.330069
S066,10.60698,12.08394
S067,10.2062,8.952042
S068,25.50882,20.9332
S069,13.0233,16.59844
S073,5.733249,5.657008
S074,5.352245,6.002579
S077,33.70374,23.73201
S081,7.112202,7.770396
S082,15.32698,12.60964
S086,39.94163,24.60824
S087,26.42203,19.44911
S088,19.87883,27.34052
S092,26.98844,25.0502
S097,22.67596,17.45378
S098,5.947197,5.719481
S101,19.01207,25.90429
S104,12.52563,11.82826
S106,23.33344,15.63407
S107,20.80881,23.14652
