Subject,Mu_Real,Mu_Imagined,Beta_Real,Beta_Imagined
S001,2.433556,2.326316,3.753096,2.34471
S004,0.25305,0.3733947,0.6548906,0.8690289
S005,0.313375,0.483541,1.169051,0.6654993
S006,0.3407301,0.3280124,1.396999,1.094077
S008,1.05164,0.483008,1.33866,0.865436
S009,5.228551,2.699057,13.52865,6.199516
S013,5.487339,2.597982,9.871099,8.953953
S014,2.092787,2.123379,1.821066,1.86633
S015,5.24723,3.272786,8.695992,7.600876
S016,0.9188147,0.7717208,1.033239,1.25953
S018,0.1418074,0.06275254,0.2196014,0.2283988
S019,1.680303,1.802382,4.328001,5.363118
S021,0.3700656,0.2591754,0.8684285,0.9904413
S022,3.91515,4.398004,3.867134,3.989218
S024,1.112972,0.7439287,8.715581,7.851893
S026,0.1038709,0.1327066,0.3564265,0.7179123
S027,3.078491,2.992658,1.780825,2.188302
S034,0.7936007,0.8691092,0.2099256,0.2707141
S035,0.9724846,1.34604,0.6688213,0.9117435
S038,1.864475,1.933747,2.477533,2.872785
S039,3.954299,6.92242,6.097078,9.328421
S040,0.984476,0.8597027,1.754263,1.637142
S041,0.1951245,0.1912512,0.2836961,0.2319607
S042,0.8662918,1.380338,0.5156637,1.021188
S044,18.48676,4.990076,5.940702,3.890171
S051,0.02893167,0.03938042,0.06651253,0.08987992
S057,1.251953,1.170179,4.446393,3.112959
S059,2.507501,2.489231,3.663893,4.157713
S060,5.285398,9.420614,6.910438,6.307885
S061,3.566173,3.027183,3.459153,4.723214
S062,0.7312008,1.277969,0.6352267,0.5208309
S066,1.058378,1.150517,1.207895,1.08314
S067,0.1366947,0.2420264,1.295227,1.699692
S068,2.457754,2.396372,3.50535,3.529737
S069,1.415662,1.273005,2.003983,2.25313
S073,0.2335856,0.1381202,0.4357158,0.3192824
S074,0.2034179,0.2061615,1.428005,0.7921213
S077,2.908119,3.09432,3.83019,4.47629
S081,0.3539062,0.544167,0.7258483,1.229976
S082,3.167305,1.946816,1.854835,1.901798
S086,2.479421,3.831227,4.805103,3.690718
S087,3.529178,3.833724,7.504421,4.940113
S088,3.510707,2.855023,3.168169,9.840244
S092,2.222557,7.790299,5.339602,8.160144
S097,3.420998,3.025605,3.213172,4.035418
S098,0.9109151,1.154522,0.3842418,0.6823571
S101,1.66358,2.334598,2.651576,3.368254
S104,2.045495,2.025659,1.291583,1.064025
S106,6.986642,2.836665,3.26622,4.604722
S107,1.856017,4.176525,2.891334,2.637774
